出版商分组,本库期刊数,常见OA模式,版面费参考,OA付费可能性,查询入口,格式习惯
其他,1296,需核实,请查期刊官网 Author / Open Access 页面,未知,,必须打开Author Instructions逐条核对
Elsevier,1049,混合为主,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200",中,https://www.elsevier.com/open-access/agreements,Editorial Manager；多数医学刊Vancouver；部分刊要Highlights/Graphical abstract
Wiley,589,混合为主,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700",中,https://authorservices.wiley.com/author-resources/Journal-Authors/open-access/article-publication-charges.html,Research Exchange或ScholarOne；Vancouver为主
Springer,452,混合为主,"订阅路线通常无APC；选OA约 USD 2,790-4,290",中,https://www.springer.com/gp/open-access,Editorial Manager/SN；多数医学刊Vancouver或Harvard
SAGE,342,混合为主,"订阅路线通常无APC；SAGE Choice常见 USD 2,000-4,000",中,https://us.sagepub.com/en-us/nam/sage-choice,SAGE Track；Vancouver或APA；临床刊常要CONSORT
Taylor & Francis,329,混合为主,"订阅路线通常无APC；Open Select常见 USD 2,500-3,500",中,https://authorservices.taylorandfrancis.com/publishing-open-access/,Submission Portal；临床刊多为Vancouver
Wolters Kluwer/LWW,277,混合为主,"订阅路线通常无APC；OA常见 USD 2,000-4,000；MEDICINE已拉黑",中,https://wkauthorservices.editage.com/open-access/,Editorial Manager；AMA/Vancouver。MEDICINE禁止推荐
Oxford UP,206,混合为主,订阅路线通常无APC；可选OA，费用因刊而异,中,https://academic.oup.com/pages/open-research/open-access,OUP系统；许多临床刊AMA/Vancouver
BMC,194,全OA,"约 USD 1,990-2,890（旗舰刊更高）",高,https://www.biomedcentral.com/getpublished/article-processing-charges,SN系统；Vancouver；结构化摘要；CONSORT/STROBE/PRISMA；数据可用性；伦理声明
Springer Nature,186,混合/全OA,"全OA约 USD 2,090-3,490；Nature系更高；Scientific Reports已拉黑",中高,https://www.springernature.com/gp/open-research/journals-books/journals,SN系统；多数医学刊Vancouver。Scientific Reports禁止推荐
MDPI,105,全OA,"约 CHF 1,600-2,900（如 JCM=CHF 2,600）",高,https://www.mdpi.com/about/apc,IMRAD；Vancouver或期刊模板；图文分传；Cover letter、CRediT、IRB/知情同意、数据可用性、利益冲突
Frontiers,78,全OA,"约 CHF 1,495-3,150（Frontiers in Medicine A类=CHF 3,150）",高,https://www.frontiersin.org/about/fee-policy,在线排版；按栏目；可选Research Topic；伦理与试验注册；CRediT
Karger,60,混合/OA,"因刊而异，常见 USD 2,500-3,800",中,https://karger.com/pages/Open-Access,Karger系统；Vancouver
BMJ,55,混合/全OA,"BMJ Open约GBP 2,175；旗舰刊更高",高,https://authors.bmj.com/open-access/,ScholarOne；Vancouver；部分刊开放评议；伦理要求严
Cambridge UP,42,混合为主,订阅路线通常无APC；Gold OA因刊而异,中,https://www.cambridge.org/core/open-research/open-access,CUP系统；因刊而异
Thieme,42,混合为主,订阅路线通常无APC；OA另计,中低,https://www.thieme.com/en-us/open-access,Thieme系统；Vancouver/AMA
De Gruyter,32,混合/OA,因刊而异,中,https://www.degruyter.com/publishing/publications/openaccess,因刊而异
IEEE,11,混合/OA,因刊而异,中,https://open.ieee.org/,IEEE模板；非典型临床刊
PLOS,8,全OA,专科刊费用因刊而异或走CAP；PLoS One已拉黑,高,https://plos.org/publish/fees/,强调方法稳健；强制数据可用性；人体/动物伦理；Vancouver。PLoS One禁止推荐
PeerJ,1,全OA,"约 USD 1,395-1,695",高,https://peerj.com/pricing/,强调可重复性；Vancouver
